Date,Tree ID ,Tree species ,d2H_T,d2H_S,d18O_T,d18O_S
26-05-2021,27,DF ,-141.86,-145.68,-17.57,-18.327
26-05-2021,27,DF ,-150.12,-137.43,-18,-17.249
26-05-2021,42,ES ,-148.5,-132.54,-18.05,-15.522
26-05-2021,42,ES ,-149.47,-126.98,-18.18,-15.957
03-06-2021,51,ES ,-127.49,-122.64,-14.63,-13.404
03-06-2021,51,ES ,-127.49,-100.18,-14.63,-7.598
03-06-2021,50,ES ,-125.56,-88.4,-14.98,-7.934
03-06-2021,50,ES ,-125.56,-78.92,-14.98,-2.774
03-06-2021,21,DF ,-128.56,-102.15,-15.9,-6.492
03-06-2021,3,DF ,-132.79,nan,-16.39,nan
02-07-2021,51,ES ,-132.59,-111.4,-15.19,-8.255
02-07-2021,51,ES ,-132.59,-114.81,-15.19,-8.832
02-07-2021,50,ES ,-131.92,nan,-15.53,nan
02-07-2021,27,DF ,-141.8,-102.51,-16.79,-0.621
02-07-2021,27,DF ,-141.8,-110.17,-16.79,-1.48
02-07-2021,21,DF ,-131.73,-100.64,-16.11,-3.772
02-07-2021,3,DF ,-133.77,nan,-16.53,nan
02-07-2021,42,ES ,-125.02,nan,-15.12,nan
31-08-2021,51,ES ,-134.35,-118.85,-16.23,-7.896
31-08-2021,51,ES ,-134.35,-108.96,-16.23,-2.634
31-08-2021,50,ES ,-138.59,-115.45,-15.99,-6.898
31-08-2021,50,ES ,-138.59,-128.22,-15.99,-5.382
31-08-2021,27,DF ,-145.67,-110.25,-17.73,-3.6
31-08-2021,27,DF ,-145.67,-98.25,-17.73,-1.672
31-08-2021,21,DF ,-132.65,-112.78,-16.47,-8.33
31-08-2021,3,DF ,-135.14,nan,-16.56,nan
31-08-2021,42,ES ,-144.15,nan,-18.49,nan
