Unnamed: 0,Rain(mm),PET1(mm/h),Water Potential (MPa),Soil moisture (cm3/cm3),Corrected Total(cm/h),Total Flow(cm3/h)
2021-05-21 00:00:00,0.0,1.4758138225835065e-05,-0.57,0.415,0.02362269103233235,2.877975199629531
2021-05-21 00:30:00,0.0,1.4764601437451225e-05,-0.05,0.415,-0.0602462447692234,-7.339858023767079
2021-05-21 01:00:00,0.0,1.4758956913324853e-05,-0.02,0.413,0.14289059452409786,17.408498749690082
2021-05-21 01:30:00,0.0,1.476565699250325e-05,0.0,0.413,-0.05847412056308925,-7.123958424989929
2021-05-21 02:00:00,0.0,1.4752719818901644e-05,-0.12,0.413,-0.12818598754671826,-15.617022319537597
2021-05-21 02:30:00,0.0,1.4745718134069696e-05,-0.18,0.413,0.1021554263184378,12.445693974900964
2021-05-21 03:00:00,0.0,1.4753332213808914e-05,-0.64,0.412,-0.23219615265426855,-28.28868090742658
2021-05-21 03:30:00,0.0,1.4753332213808914e-05,-0.23,0.412,-0.1405941632432863,-17.12872231504158
2021-05-21 04:00:00,0.0,1.4746978621216362e-05,-0.22,0.411,-0.3699572626199212,-45.07224961312284
2021-05-21 04:30:00,0.0,1.473940323413991e-05,-0.27,0.411,-0.3699572626199212,-45.07224961312284
2021-05-21 05:00:00,0.0,1.4746978621216362e-05,-0.4,0.41,-0.3699572626199212,-45.07224961312284
2021-05-21 05:30:00,0.0,1.4761480049689115e-05,-0.49,0.41,-0.4906389439634116,-59.77501508047727
2021-05-21 06:00:00,0.0,1.4804919402657176e-05,-0.42,0.41,-0.4906389439634116,-59.77501508047727
2021-05-21 06:30:00,0.0,1.4789181628474112e-05,-0.9,0.41,0.2184447286587065,26.613331677965384
2021-05-21 07:00:00,0.0,1.4759123005694725e-05,-0.97,0.409,0.2184447286587065,26.613331677965384
2021-05-21 07:30:00,0.0,1.472529225322114e-05,-0.98,0.409,0.2184447286587065,26.613331677965384
2021-05-21 08:00:00,0.0,1.4698552063259604e-05,-0.97,0.407,0.2184447286587065,26.613331677965384
