Unnamed: 0,Rain(mm),Water Potential (MPa),Soil moisture (cm3/cm3),Corrected Total(cm/h),Total Flow(cm3/h)
2021-05-21 0:00,0,-0.57,0.415,0.023622691,2.8779752
2021-05-21 0:30,0,-0.05,0.415,-0.060246245,-7.339858024
2021-05-21 1:00,0,-0.02,0.413,0.142890595,17.40849875
2021-05-21 1:30,0,0,0.413,-0.058474121,-7.123958425
2021-05-21 2:00,0,-0.12,0.413,-0.128185988,-15.61702232
2021-05-21 2:30,0,-0.18,0.413,0.102155426,12.44569397
2021-05-21 3:00,0,-0.64,0.412,-0.232196153,-28.28868091
2021-05-21 3:30,0,-0.23,0.412,-0.140594163,-17.12872232
2021-05-21 4:00,0,-0.22,0.411,-0.369957263,-45.07224961
2021-05-21 4:30,0,-0.27,0.411,-0.369957263,-45.07224961
2021-05-21 5:00,0,-0.4,0.41,0,0
2021-05-21 5:30,0,-0.49,0.41,-0.490638944,-59.77501508
2021-05-21 6:00,0,-0.42,0.41,-0.490638944,-59.77501508
2021-05-21 6:30,0,-0.9,0.41,0.218444729,26.61333168
2021-05-21 7:00,0,-0.97,0.409,0.218444729,26.61333168
2021-05-21 7:30,0,-0.98,0.409,0,0
2021-05-21 8:00,0,-0.97,0.407,0,0
2021-05-21 8:30,0,-0.93,0.407,0,0
2021-05-21 9:00,0.4,-0.77,0.402,0,0
2021-05-21 9:30,0.2,-0.78,0.402,0,0
2021-05-21 10:00,0,-1.24,0.402,0,0
2021-05-21 10:30,0,-1.05,0.402,0,0
2021-05-21 11:00,0,-0.99,0.404,0.789412648,96.17490317
2021-05-21 11:30,0,-1.05,0.404,1.437247678,175.1012688
2021-05-21 12:00,0,-1.07,0.407,0.939742224,114.4897002
2021-05-21 12:30,0,-0.98,0.407,1.312278591,159.8761646
2021-05-21 13:00,0,-0.99,0.411,1.407183538,171.4385258
2021-05-21 13:30,0,-1.05,0.411,1.806936333,220.1407937
2021-05-21 14:00,0,-1.01,0.411,1.35413053,164.9750267
2021-05-21 14:30,0,-1.06,0.411,2.293166008,279.3786233
2021-05-21 15:00,0,-0.97,0.414,2.100138334,255.8618758
2021-05-21 15:30,0,-0.78,0.414,2.21346281,269.668306
2021-05-21 16:00,0,-0.85,0.414,2.310289959,281.4648507
2021-05-21 16:30,0,-0.76,0.414,2.284309149,278.2995837
2021-05-21 17:00,0,-0.65,0.414,1.877123275,228.6917365
2021-05-21 17:30,1,-0.53,0.414,1.256869947,153.1256762
2021-05-21 18:00,0,-0.51,0.411,1.216198094,148.1705851
2021-05-21 18:30,0,-0.52,0.411,0.925004854,112.6942323
2021-05-21 19:00,0,-0.46,0.411,0.859568941,104.7221119
2021-05-21 19:30,0,-0.43,0.411,0.604855768,73.6901608
2021-05-21 20:00,0,-0.39,0.411,0.658517743,80.2278508
2021-05-21 20:30,0,-0.35,0.411,0.557086837,67.87042589
2021-05-21 21:00,0,-0.33,0.41,0.58008717,70.67257855
2021-05-21 21:30,0,-0.28,0.41,0.347088297,42.28610154
2021-05-21 22:00,0,-0.2,0.41,0.444430259,54.14536647
2021-05-21 22:30,0,-0.21,0.41,0.26624835,32.43729288
2021-05-21 23:00,0,-0.2,0.409,0.257396276,31.35883616
2021-05-21 23:30,0,-0.21,0.409,0.219034934,26.68523691
2021-05-22 0:00,0,-0.21,0.409,0.20605021,25.10329547
2021-05-22 0:30,0,-0.24,0.409,0.262707544,32.00591312
2021-05-22 1:00,0,-0.25,0.409,0.21490348,26.18189791
2021-05-22 1:30,0,-0.24,0.409,0.190113786,23.1617456
2021-05-22 2:00,0,-0.24,0.409,0.157058215,19.13455363
2021-05-22 2:30,0,-0.22,0.409,-0.170730668,-20.80028177
2021-05-22 3:00,0,-0.14,0.409,-0.170730668,-20.80028177
2021-05-22 3:30,0,-0.24,0.409,0,0
2021-05-22 4:00,0,-0.55,0.409,-0.363451739,-44.27967546
2021-05-22 4:30,0,-0.42,0.409,-0.363451739,-44.27967546
2021-05-22 5:00,0,-0.48,0.409,-0.248155936,-30.23307671
2021-05-22 5:30,0,-0.27,0.409,-0.246973695,-30.08904318
2021-05-22 6:00,0,-0.14,0.41,-0.025987079,-3.166030831
2021-05-22 6:30,0,-0.15,0.41,-0.025987079,-3.166030831
2021-05-22 7:00,0,-0.22,0.41,-0.095691025,-11.65812976
2021-05-22 7:30,0,-0.27,0.41,-0.095691025,-11.65812976
2021-05-22 8:00,0,-0.26,0.409,0,0
2021-05-22 8:30,0,-0.56,0.409,0,0
2021-05-22 9:00,0,-0.83,0.408,0,0
2021-05-22 9:30,0,-0.69,0.408,0,0
2021-05-22 10:00,0,-0.97,0.408,0.963321716,117.3624125
2021-05-22 10:30,0,-1.17,0.408,1.28339525,156.3572794
2021-05-22 11:00,0,-1.31,0.408,1.677200969,204.3350094
2021-05-22 11:30,0,-1.27,0.408,3.230199286,393.53829
2021-05-22 12:00,0,-1.26,0.407,2.876573855,350.4557632
2021-05-22 12:30,0,-1.11,0.407,2.943459239,358.6044739
2021-05-22 13:00,0,-0.94,0.406,3.01688077,367.5494898
2021-05-22 13:30,0,-0.97,0.406,3.039386354,370.2913667
2021-05-22 14:00,0,-0.97,0.405,3.192257923,388.9158572
2021-05-22 14:30,0,-0.97,0.405,3.408754,415.2917829
2021-05-22 15:00,0.2,-1.07,0.404,3.797406081,462.6416401
2021-05-22 15:30,0,-1.2,0.404,3.955782928,481.936844
2021-05-22 16:00,0,-1.36,0.403,5.131146706,625.132545
2021-05-22 16:30,0,-1.55,0.403,4.828143565,588.2173805
2021-05-22 17:00,0,-1.34,0.401,4.574531319,557.3195564
2021-05-22 17:30,0,-1.21,0.401,6.079738009,740.7003371
2021-05-22 18:00,0,-1.03,0.398,5.344545021,651.1310673
2021-05-22 18:30,0,-0.97,0.398,5.451431295,664.153125
2021-05-22 19:00,0,-0.82,0.396,4.690170204,571.4079531
2021-05-22 19:30,0,-0.63,0.396,4.179384161,509.1783975
2021-05-22 20:00,0,-0.57,0.395,3.469304554,422.6687151
2021-05-22 20:30,0,-0.46,0.395,2.841068092,346.1300619
2021-05-22 21:00,0,-0.37,0.394,2.725713813,332.076339
2021-05-22 21:30,0,-0.33,0.394,2.365210998,288.1559338
2021-05-22 22:00,0,-0.3,0.395,1.653615414,201.4615584
2021-05-22 22:30,0,-0.26,0.395,1.30874184,159.4452789
2021-05-22 23:00,0,-0.25,0.395,1.264532795,154.0592483
2021-05-22 23:30,0,-0.26,0.395,1.072373069,130.6482438
2021-05-23 0:00,0,-0.26,0.396,0.597779128,72.82800691
2021-05-23 0:30,0,-0.24,0.396,0.587164015,71.53475745
2021-05-23 1:00,0,-0.28,0.396,0.219034934,26.68523691
2021-05-23 1:30,0,-0.29,0.396,0.643186197,78.3599938
2021-05-23 2:00,0,-0.34,0.396,0.198377203,24.16848574
2021-05-23 2:30,0,-0.36,0.396,0.358888445,43.72372484
2021-05-23 3:00,0,-0.33,0.396,-0.112233441,-13.67350821
2021-05-23 3:30,0,-0.33,0.396,0.278640919,33.94709147
2021-05-23 4:00,0,-0.31,0.396,0.353578418,43.0767992
2021-05-23 4:30,0,-0.4,0.396,-0.105734518,-12.88173818
2021-05-23 5:00,0,-0.4,0.396,0.147613199,17.98385818
2021-05-23 5:30,0,-0.43,0.396,0.192474781,23.44938797
2021-05-23 6:00,0,-0.47,0.396,-0.076195852,-9.283014051
2021-05-23 6:30,0,-0.52,0.396,0.390747262,47.60511525
2021-05-23 7:00,0,-0.56,0.395,-0.033665511,-4.101501614
2021-05-23 7:30,0,-0.54,0.395,0.745193799,90.78767824
2021-05-23 8:00,0,-0.62,0.395,0.019488851,2.374345465
2021-05-23 8:30,0,-0.71,0.395,0.881381299,107.3795325
2021-05-23 9:00,0,-0.71,0.395,0.613701456,74.76783938
2021-05-23 9:30,0,-0.88,0.395,1.277500723,155.6391434
2021-05-23 10:00,0,-0.94,0.394,2.419551285,294.7762633
2021-05-23 10:30,0,-1.1,0.394,3.749214679,456.7704353
2021-05-23 11:00,0,-1.16,0.393,4.582316581,558.2680424
2021-05-23 11:30,0,-1.05,0.393,5.119706861,623.7388177
2021-05-23 12:00,0,-1.04,0.392,5.505829514,670.7805124
2021-05-23 12:30,0,-1.02,0.392,5.714672466,696.2240503
2021-05-23 13:00,0,-1.48,0.391,6.202204984,755.6206066
2021-05-23 13:30,0,-1.17,0.391,7.088647952,863.6168071
2021-05-23 14:00,0,-0.78,0.39,5.843868256,711.9640979
2021-05-23 14:30,0,-0.61,0.39,4.5583637,555.3498397
2021-05-23 15:00,0,-0.63,0.389,3.845018856,468.4423504
2021-05-23 15:30,0.2,-0.5,0.389,2.873023014,350.0231609
2021-05-23 16:00,0.4,-0.39,0.427,1.804577263,219.8533859
2021-05-23 16:30,0.4,-0.34,0.427,1.182599742,144.0772655
2021-05-23 17:00,0.4,-0.34,0.45,1.003406101,122.2459316
2021-05-23 17:30,0.4,-0.37,0.45,1.125423563,137.1114366
2021-05-23 18:00,0,-0.35,0.435,0.815942918,99.4071115
2021-05-23 18:30,0,-0.33,0.435,0.838935237,102.208288
2021-05-23 19:00,0.6,-0.32,0.448,0.640827466,78.0726274
2021-05-23 19:30,0.6,-0.32,0.448,0.75580653,92.0806375
2021-05-23 20:00,0.8,-0.35,0.465,0.637289355,77.6415759
2021-05-23 20:30,2,-0.37,0.465,0.48277161,58.8165302
2021-05-23 21:00,0.4,-0.41,0.463,-0.089783256,-10.93838049
2021-05-23 21:30,1,-0.36,0.463,-0.035437485,-4.317382927
