Unnamed: 0,Rain(mm),Water Potential (MPa),Soil moisture (cm3/cm3),Corrected Total(cm/h),Total Flow(cm3/h)
2021-05-21 0:00,0,-0.57,0.415,0.023622691,2.8779752
2021-05-21 0:30,0,-0.05,0.415,-0.060246245,-7.339858024
2021-05-21 1:00,0,-0.02,0.413,0.142890595,17.40849875
2021-05-21 1:30,0,0,0.413,-0.058474121,-7.123958425
2021-05-21 2:00,0,-0.12,0.413,-0.128185988,-15.61702232
2021-05-21 2:30,0,-0.18,0.413,0.102155426,12.44569397
2021-05-21 3:00,0,-0.64,0.412,-0.232196153,-28.28868091
2021-05-21 3:30,0,-0.23,0.412,-0.140594163,-17.12872232
2021-05-21 4:00,0,-0.22,0.411,-0.369957263,-45.07224961
2021-05-21 4:30,0,-0.27,0.411,-0.369957263,-45.07224961
2021-05-21 5:00,0,-0.4,0.41,0,0
2021-05-21 5:30,0,-0.49,0.41,-0.490638944,-59.77501508
2021-05-21 6:00,0,-0.42,0.41,-0.490638944,-59.77501508
2021-05-21 6:30,0,-0.9,0.41,0.218444729,26.61333168
2021-05-21 7:00,0,-0.97,0.409,0.218444729,26.61333168
2021-05-21 7:30,0,-0.98,0.409,0,0
2021-05-21 8:00,0,-0.97,0.407,0,0
2021-05-21 8:30,0,-0.93,0.407,0,0
2021-05-21 9:00,0.4,-0.77,0.402,0,0
2021-05-21 9:30,0.2,-0.78,0.402,0,0
2021-05-21 10:00,0,-1.24,0.402,0,0
2021-05-21 10:30,0,-1.05,0.402,0,0
2021-05-21 11:00,0,-0.99,0.404,0.789412648,96.17490317
2021-05-21 11:30,0,-1.05,0.404,1.437247678,175.1012688
2021-05-21 12:00,0,-1.07,0.407,0.939742224,114.4897002
2021-05-21 12:30,0,-0.98,0.407,1.312278591,159.8761646
2021-05-21 13:00,0,-0.99,0.411,1.407183538,171.4385258
2021-05-21 13:30,0,-1.05,0.411,1.806936333,220.1407937
2021-05-21 14:00,0,-1.01,0.411,1.35413053,164.9750267
2021-05-21 14:30,0,-1.06,0.411,2.293166008,279.3786233
2021-05-21 15:00,0,-0.97,0.414,2.100138334,255.8618758
2021-05-21 15:30,0,-0.78,0.414,2.21346281,269.668306
2021-05-21 16:00,0,-0.85,0.414,2.310289959,281.4648507
2021-05-21 16:30,0,-0.76,0.414,2.284309149,278.2995837
2021-05-21 17:00,0,-0.65,0.414,1.877123275,228.6917365
2021-05-21 17:30,1,-0.53,0.414,1.256869947,153.1256762
2021-05-21 18:00,0,-0.51,0.411,1.216198094,148.1705851
2021-05-21 18:30,0,-0.52,0.411,0.925004854,112.6942323
2021-05-21 19:00,0,-0.46,0.411,0.859568941,104.7221119
2021-05-21 19:30,0,-0.43,0.411,0.604855768,73.6901608
2021-05-21 20:00,0,-0.39,0.411,0.658517743,80.2278508
2021-05-21 20:30,0,-0.35,0.411,0.557086837,67.87042589
2021-05-21 21:00,0,-0.33,0.41,0.58008717,70.67257855
2021-05-21 21:30,0,-0.28,0.41,0.347088297,42.28610154
2021-05-21 22:00,0,-0.2,0.41,0.444430259,54.14536647
2021-05-21 22:30,0,-0.21,0.41,0.26624835,32.43729288
2021-05-21 23:00,0,-0.2,0.409,0.257396276,31.35883616
2021-05-21 23:30,0,-0.21,0.409,0.219034934,26.68523691
