Unnamed: 0,Rain(mm),PET1(mm/h),Water Potential (MPa),Soil moisture (cm3/cm3),Corrected Total(cm/h),Total Flow(cm3/h)
2021-06-19 0:00,0,0.000246661,-1.06,0.175666667,0.588343481,71.67845295
2021-06-19 0:30,0,0.000250572,-1.03,0.175666667,0.791181356,96.39038656
2021-06-19 1:00,0,0.000251578,-1.02,0.175333333,1.461417357,178.0458841
2021-06-19 1:30,0,5.12E-07,-0.98,0.175333333,0.716302884,87.2678702
2021-06-19 2:00,0,5.04E-07,-0.97,0.175333333,0.359478443,43.79560498
2021-06-19 2:30,0,5.32E-07,-0.96,0.175333333,0.886686947,108.0259247
2021-06-19 3:00,0,0.000239144,-0.93,0.175333333,0.397236744,48.39573511
2021-06-19 3:30,0,0.000253221,-0.93,0.175333333,0.841293395,102.4955846
2021-06-19 4:00,0,5.14E-07,-0.93,0.175,0.964500682,117.506047
2021-06-19 4:30,0,0.000266577,-0.95,0.175,0.309325629,37.68543934
2021-06-19 5:00,0,0.000270002,-0.95,0.175333333,0.706279256,86.04668195
2021-06-19 5:30,0,0.000227267,-0.93,0.175333333,0.627854298,76.49209387
2021-06-19 6:00,0,0.000210332,-0.9,0.175333333,0.550599399,67.08005506
2021-06-19 6:30,0,3.99E-07,-0.86,0.175333333,0.764060784,93.08626121
2021-06-19 7:00,0,3.77E-07,-0.87,0.175333333,0.873717544,106.4458499
2021-06-19 7:30,0,3.66E-07,-0.83,0.175333333,1.053510489,128.3501975
2021-06-19 8:00,0,0.00833502,-0.81,0.175,0.670900664,81.73647403
2021-06-19 8:30,0,0.008333452,-0.82,0.175,0.755216938,92.00880686
2021-06-19 9:00,0,0.035779426,-0.84,0.174666667,0.605445485,73.76200651
2021-06-19 9:30,0,0.035794031,-0.75,0.174666667,1.118350198,136.2496817
2021-06-19 10:00,0,0.248236056,-0.73,0.173666667,1.99628662,243.2095215
2021-06-19 10:30,0,0.247814983,-0.7,0.173666667,2.360486222,287.5803099
2021-06-19 11:00,0,0.374825843,-0.71,0.173,2.984311451,363.5815383
2021-06-19 11:30,0,0.374967625,-0.74,0.173,3.677255387,448.0035653
2021-06-19 12:00,0,0.290270726,-0.77,0.172,4.050541936,493.4814252
2021-06-19 12:30,0,0.290255678,-0.8,0.172,4.895397654,596.4110109
2021-06-19 13:00,0,0.382485451,-0.78,0.171,4.701561108,572.795718
2021-06-19 13:30,0,0.382601131,-0.77,0.171,5.485879602,668.3499954
2021-06-19 14:00,0,0.315133838,-0.96,0.169666667,4.609868904,561.6247683
2021-06-19 14:30,0,0.313130591,-1.17,0.169666667,3.260439635,397.2225009
2021-06-19 15:00,0,0.080513843,-1.15,0.170666667,2.15148416,262.1173873
2021-06-19 15:30,0,0.080436428,-1.17,0.170666667,2.211691841,269.4525471
2021-06-19 16:00,0.4,0.122950795,-1.1,0.169,-0.046069553,-5.612698043
