Unnamed: 0,Rain(mm),Water Potential (MPa),Soil moisture (cm3/cm3),Corrected Total(cm/h),Total Flow(cm3/h)
2021-05-26 00:00:00,0.0,-0.36,0.256,0.0,0.0
2021-05-26 00:30:00,0.0,-0.35,0.256,0.0,0.0
2021-05-26 01:00:00,0.0,-0.33,0.256,0.0,0.0
2021-05-26 01:30:00,0.0,-0.32,0.256,0.0,0.0
2021-05-26 02:00:00,0.0,-0.38,0.255,-0.2466966007931931,-91.08763859378777
2021-05-26 02:30:00,0.0,-0.37,0.255,-0.11761433549672856,-79.06307726909965
2021-05-26 03:00:00,0.0,-0.35,0.255,-0.17885726172141259,-76.38339686072322
2021-05-26 03:30:00,0.0,-0.33,0.255,-0.08533726095432101,-74.79762161360317
2021-05-26 04:00:00,0.0,-0.36,0.255,-0.08533726095432101,-74.79762161360317
2021-05-26 04:30:00,0.0,-0.38,0.255,0.0,0.0
2021-05-26 05:00:00,0.0,-0.41,0.255,0.0,0.0
2021-05-26 05:30:00,0.0,-0.37,0.255,0.0,0.0
2021-05-26 06:00:00,0.0,-0.36,0.255,0.0,0.0
2021-05-26 06:30:00,0.0,-0.3,0.255,0.0,0.0
2021-05-26 07:00:00,0.0,-0.27,0.255,0.0,0.0
2021-05-26 07:30:00,0.0,-0.23,0.255,0.0,0.0
2021-05-26 08:00:00,0.0,-0.26,0.255,0.0,0.0
2021-05-26 08:30:00,0.0,-0.25,0.255,0.0,0.0
2021-05-26 09:00:00,0.0,-0.26,0.255,2.670708339257324,198.73149497513367
2021-05-26 09:30:00,0.0,-0.54,0.255,6.229340769453449,565.5658472758306
2021-05-26 10:00:00,0.0,-0.69,0.253,9.642610422821555,884.2901773153353
2021-05-26 10:30:00,0.0,-0.87,0.253,15.489722104164377,1479.581909538787
2021-05-26 11:00:00,0.0,-0.95,0.252,22.12723480396125,2114.3845087765653
2021-05-26 11:30:00,0.0,-0.98,0.252,25.863936326410965,2459.444140766515
2021-05-26 12:00:00,0.0,-1.12,0.25,26.848882581819915,2531.037632344319
2021-05-26 12:30:00,0.0,-1.15,0.25,26.810267630382967,2572.138953773358
2021-05-26 13:00:00,0.0,-1.18,0.248,28.21876886577129,2690.7033050385376
2021-05-26 13:30:00,0.0,-1.2,0.248,26.465027959559322,2488.930421044605
2021-05-26 14:00:00,0.0,-1.19,0.247,25.35380279688306,2363.019113098084
2021-05-26 14:30:00,0.0,-1.27,0.247,26.906705627741545,2547.2584231318056
2021-05-26 15:00:00,0.0,-1.25,0.244,26.76342601679246,2494.886413069891
2021-05-26 15:30:00,0.0,-1.27,0.244,26.793056694370883,2530.171133948566
2021-05-26 16:00:00,0.0,-1.3,0.243,27.3742765026924,2615.859499750328
2021-05-26 16:30:00,0.0,-1.23,0.243,26.12597109034531,2517.4318900293624
2021-05-26 17:00:00,0.0,-1.14,0.239,23.38965813576562,2157.9251055802506
2021-05-26 17:30:00,0.0,-1.14,0.239,24.403661365616685,2273.3316531941978
2021-05-26 18:00:00,0.0,-1.15,0.236,23.876336058611674,2272.4811080584486
2021-05-26 18:30:00,0.0,-1.2,0.236,23.355759444761333,2242.039192629752
2021-05-26 19:00:00,0.0,-1.07,0.234,20.15234973468399,1876.8063472856297
2021-05-26 19:30:00,0.0,-0.93,0.234,17.97005287615242,1660.9050863471991
2021-05-26 20:00:00,0.0,-0.94,0.236,15.04476620141245,1397.2608801840274
2021-05-26 20:30:00,0.0,-0.76,0.236,12.69766339944487,1208.597552494346
2021-05-26 21:00:00,0.0,-0.88,0.237,10.191867538548149,953.6632019720049
2021-05-26 21:30:00,0.0,-0.65,0.237,8.946458592451018,818.7675987783011
2021-05-26 22:00:00,0.0,-0.53,0.238,7.006423222946819,637.4485827249789
2021-05-26 22:30:00,0.0,-0.52,0.238,6.419338325864868,541.7272481591311
2021-05-26 23:00:00,0.0,-0.53,0.238,5.389562772692332,461.5542795455263
2021-05-26 23:30:00,0.0,-0.55,0.238,4.845720176524219,421.9048597738108
2021-05-27 00:00:00,0.0,-0.53,0.238,4.207518489492356,350.181639833668
2021-05-27 00:30:00,0.0,-0.49,0.238,3.471220734965055,248.0996660177016
2021-05-27 01:00:00,0.0,-0.45,0.238,3.0686813758490468,217.65633675347058
2021-05-27 01:30:00,0.0,-0.44,0.238,2.7898360387406713,206.6633895178711
2021-05-27 02:00:00,0.0,-0.45,0.238,2.5889301828006035,176.6487566625182
2021-05-27 02:30:00,0.0,-0.47,0.238,2.7428323432201447,191.52357049789833
2021-05-27 03:00:00,0.0,-0.45,0.238,2.64237684194689,185.11380655190922
2021-05-27 03:30:00,0.0,-0.45,0.238,2.514231080349666,159.6166785808568
2021-05-27 04:00:00,0.0,-0.43,0.238,2.3912434604118973,169.64741605136027
2021-05-27 04:30:00,0.0,-0.44,0.238,2.1838908983085874,147.19939360144056
2021-05-27 05:00:00,0.0,-0.44,0.237,2.4253698223686393,165.31012888399286
